CODE;NAME;PRICE;ABOUT1;ABOUT2;dis;PHOTO;P;H
KT184A;ريموت 1000 متر;8.36;اربع أوامر ABCD - انتينا خارجية قابلة للطي -  ريموت مميز وعملي;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2+p=6.99
5+p=5.99
10+p=4.99";;6.69;1.67
KT203DIM;ريموت 100 متر;6.36;"ريموت لمستقبل الـ دايمر ""تغيير شدة الإضاءة"" 3 أزرار -  مرفق بقاعدة تثبيت على الحائط";"يفضل  شراء مستقبل دايمر من اجل تشغيل وإيقاف الإضاءة بأول زر ثم الازرار الباقية هي ل تقوية و تخفيف شدة الإضاءة 
ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2+p=5.5
5+p=4.99
10+p=3.7";;4.69;1.67
KT203UP;ريموت 100 متر;6.36;ريموت 3 ازرار - مناسب ل راقعة أو ابجور او لرفع والتنزيل -  مرفق بقاعدة تثبيت على الحائط ;"يفضل اختياره ل غرض التطليع والتنزيل - حيث شكل الأزرار مناسب أكثر - ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2+p=5.5
5+p=4.99
10+p=3.99";;4.69;1.67
KT204A;ريموت 100 متر;6.36;ريموت abcd - أنيق ومميز - مرفق بقاعدة تثبيت على الحائط;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2+p=5.5
5+p=4.99
10+p=3.7";;4.69;1.67
KT28-12CH;ريموت 3000 متر;15.75;ريموت 12 قنوات - مميز جداً - يحتوي انتينا قابلة للطي ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=20%
5p=30%
10p=40%";;11.9;3.85
KT28-4CH;ريموت 3000 متر;10.56;ريموت 4 قنوات  - مميز جداً - يحتوي انتينا قابلة للطي  ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=20%
5p=30%
10p=40%";;7.99;2.57
KT28-8CH;ريموت 3000 متر;13.75;ريموت 8 قنوات  - مميز جداً - يحتوي انتينا قابلة للطي ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=20%
5p=30%
10p=40%";;9.9;3.85
KT38;ريموت  50 متر;9.31;ريموت 16 قناة - يحتوي انتينا قابلة للطي ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=15%
5p=20%
10p=30%";;5.85;3.46
kt48-15CH;ريموت  50 متر;9.98;ريموت 15 قناة - يحتوي انتينا قابلة للطي ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=15%
5p=20%
10p=30%";;6;3.98
PT22624C;ريموت 500 متر;6.87;ريموت abcd اربع قنوات - مع انتينا قابلة للطي;"ريموت من صنف :
Cloning Remote: (ريموت الاستنساخ) : ريموت يمكن حذف الكود وتغييره وإضافة كود من ريموت آخر ليعمل مثل الريموت الأصلي تماماً ""نسخ كود من ريموت أصلي ووضعه على الريموت الجديد""

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=15%
5p=20%
10p=30%";;5.2;1.67
PT22625A;ريموت 500 متر;7.95;ريموت 5 أوامر - مع انتينا قابلة للطي;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=15%
5p=20%
10p=30%";;5.9;2.05
PT22628A;ريموت 500 متر;7.24;ريموت 8 أوامر 12345678 - مع انتينا قابلة للطي ;"ريموت من صنف :
Learning  and Fixed Code  (ريموت يحتوي على كود محفور داخل الشريحة لايمكن حذفه أو استبداله)

""يرجى قراءة الأسئلة شائعة عن الريموتات من قسم الخاص ضمن الموقع""";"2p=20%
5p=25%
10p=30%";;5.7;1.54
